city,state_id,state_name,lat,lng,zips
Yuma,AZ,Arizona,32.5995,-114.5491,85365 85364 85369
Kent,WA,Washington,47.3887,-122.2128,98031 98030 98032 98042 98035 98064 98089
Miramar,FL,Florida,25.9773,-80.3351,33029 33025 33023 33027
Coeur d'Alene,ID,Idaho,47.7040,-116.7936,83815 83814 83816
Coral Springs,FL,Florida,26.2702,-80.2591,33071 33076 33065 33067 33075 33077
Sterling Heights,MI,Michigan,42.5809,-83.0305,48310 48313 48312 48314 48311
Yuba City,CA,California,39.1357,-121.6383,95991 95993
Yakima,WA,Washington,46.5923,-120.5496,98901 98903 98902 98908 98904 98907
Carrollton,TX,Texas,32.9890,-96.8999,75007 75006 75010 75011
Racine,WI,Wisconsin,42.7274,-87.8135,53405 53404 53406 53403 53402 53401 53407 53408
Johnson City,TN,Tennessee,36.3406,-82.3806,37614 37615 37601 37604 37602 37605 37684
Billings,MT,Montana,45.7891,-108.5526,59106 59105 59102 59101 59104 59107 59108 59115 59116 59117
Iowa City,IA,Iowa,41.6559,-91.5303,52245 52246 52240 52242 52243 52244
Dover,DE,Delaware,39.1610,-75.5202,19902 19901 19904 19905 19906
Bellingham,WA,Washington,48.7548,-122.4690,98225 98226 98229 98228
Charleston,WV,West Virginia,38.3484,-81.6322,25387 25305 25304 25303 25302 25301 25311 25314 25317 25321 25322 25323 25324 25325 25326 25327 25328 25329 25330 25331 25332 25333 25334 25335 25336 25337 25338 25339 25350 25364 25375 25392 25396
Lynchburg,VA,Virginia,37.4003,-79.1909,24515 24504 24502 24503 24501 24505 24506 24513 24514
Santa Clara,CA,California,37.3646,-121.9680,95054 95050 95051 95053 95052 95055 95056
Norman,OK,Oklahoma,35.2335,-97.3471,73019 73026 73072 73070 73071 74857 73069 73068
Greenville,NC,North Carolina,35.5943,-77.3760,27834 27858 28590 27833 27835 27836
Simi Valley,CA,California,34.2663,-118.7490,93063 93065 93062 93094 93099
Fort Smith,AR,Arkansas,35.3495,-94.3695,72908 72901 72904 72923 72916 72903 72906 72913 72914 72917 72918 72919
Abilene,TX,Texas,32.4543,-99.7384,79607 79605 79699 79603 79602 79601 79606 79604 79608 79697 79698
